index,Fund,Acct-Type,Acct-Div,Acct-Dept,Summ-Acct,GL-Account,2019-Actual,2020-Actual,2021-Budget,2022-Recommend,2023-Forecast
772,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,50000: Total PERSONNEL SALARIES,OVERTIME,17802,8956,25000,0,0
773,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,50000: Total PERSONNEL SALARIES,SICK LEAVE,32192,20230,0,0,0
774,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,50000: Total PERSONNEL SALARIES,VACATION,48861,41413,0,0,0
775,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,50000: Total PERSONNEL SALARIES,HOLIDAY,46005,40599,0,0,0
776,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,50000: Total PERSONNEL SALARIES,LONGEVITY,25419,23541,27407,8392,8476
777,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,50000: Total PERSONNEL SALARIES,DIFFERENTIAL PAY,1231,1667,0,0,0
778,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,50000: Total PERSONNEL SALARIES,ALTERNATIVE WORK WEEK,2123,2185,2184,2184,2184
779,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,15714,13842,18360,18360,18360
780,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,51000: Total EMPLOYEE BENEFITS,HEALTHCARE EE CASH PAYMENT,1500,1500,0,0,0
781,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,51000: Total EMPLOYEE BENEFITS,LABORERS INT'L PENSION,49531,48770,86450,86450,86450
782,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,212837,210137,213560,218964,230416
783,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,58776,54216,70766,24685,24932
784,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,51000: Total EMPLOYEE BENEFITS,STIPENDS,0,0,0,0,0
785,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,51000: Total EMPLOYEE BENEFITS,LOCAL 1033 BENEFITS EXPENSE,40761,36810,65352,69160,72224
786,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,140224,124932,154601,183744,187419
787,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,52100: Total G&A SERVICES,DUES & SUBSCRIPTIONS,1042,921,1000,1000,1007
788,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,52910: Total R&M OTHER,MAIN & SERVICE,15993,15937,16000,16000,16112
789,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,54000: Total OFFICE SUPPLIES,STATIONERY,970,908,910,910,916
790,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,54700: Total OTHER SUPPLY,EDUC & REC SUPPLIES,0,0,0,500,504
791,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,54700: Total OTHER SUPPLY,HOUSEKEEPING SUPPLIES,836,0,500,2200,2215
792,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,54700: Total OTHER SUPPLY,MIS PAINT SUPPLIES,0,2270,2200,0,0
793,101: City General,EXPENSES,Parks,101-708: Roger Williams Park Services,54700: Total OTHER SUPPLY,MISCELLANEOUS MATERIALS AND SUPPLIES,1880,0,0,0,0
794,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,50000: Total PERSONNEL SALARIES,SALARIES,539707,549848,548638,651816,658334
795,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,50000: Total PERSONNEL SALARIES,SALARIES-TEMPORARIES,20670,32492,56300,56300,56300
796,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,50000: Total PERSONNEL SALARIES,SICK LEAVE,13165,11814,0,0,0
797,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,50000: Total PERSONNEL SALARIES,VACATION,25874,25948,0,0,0
798,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,50000: Total PERSONNEL SALARIES,HOLIDAY,42198,38194,0,0,0
799,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,50000: Total PERSONNEL SALARIES,LONGEVITY,11953,13213,13433,10129,10230
800,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,10148,9251,11712,11712,11712
801,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,51000: Total EMPLOYEE BENEFITS,HEALTHCARE EE CASH PAYMENT,3500,0,0,0,0
802,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,51000: Total EMPLOYEE BENEFITS,LABORERS INT'L PENSION,21247,23227,28600,28600,28600
803,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,193379,193421,160971,201540,212081
804,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,54123,52469,59832,52850,53379
805,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,51000: Total EMPLOYEE BENEFITS,AUTO ALLOWANCE,37,0,0,0,0
806,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,51000: Total EMPLOYEE BENEFITS,LOCAL 1033 BENEFITS EXPENSE,17489,17531,21620,22880,23894
807,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,91956,100786,134693,148236,151201
808,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,52100: Total G&A SERVICES,BUILDING INSURANCE,93105,113705,93000,135000,135945
809,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,52100: Total G&A SERVICES,POSTAGE,984,784,2500,2500,2500
810,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,52100: Total G&A SERVICES,PROGRAM EXPENSE,7008,5886,7500,7500,7500
811,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,52910: Total R&M OTHER,COPIERS LEASE AND MAINTENANCE,0,0,0,8500,8560
812,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,52910: Total R&M OTHER,REPAIRS OFFICE MACH.   FURNITURE,1275,1506,2000,2000,2014
813,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,53010: Total RENT EQUIPMENT,RENTALS NO CLASSIFIED,8405,6392,8500,0,0
814,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,53100: Total TRAVEL & ENTERTAINMENT,TRANSPORTATION OF PERSONS-TRAINING,1972,1706,2000,2000,2000
815,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,53500: Total OTHER SERVICES,MISC. EXPENSES,186,426,500,500,504
816,101: City General,EXPENSES,Parks,101-709: Superintendent of Parks,54000: Total OFFICE SUPPLIES,STATIONERY,4330,3027,2688,2688,2707
817,101: City General,EXPENSES,Parks,101-710: North Burial Ground,50000: Total PERSONNEL SALARIES,SALARIES,257905,306392,349708,386830,390698
818,101: City General,EXPENSES,Parks,101-710: North Burial Ground,50000: Total PERSONNEL SALARIES,SALARIES-TEMPORARIES,712,1823,0,0,0
819,101: City General,EXPENSES,Parks,101-710: North Burial Ground,50000: Total PERSONNEL SALARIES,OVERTIME,49808,42238,30000,30000,30000
820,101: City General,EXPENSES,Parks,101-710: North Burial Ground,50000: Total PERSONNEL SALARIES,SICK LEAVE,11306,13473,0,0,0
821,101: City General,EXPENSES,Parks,101-710: North Burial Ground,50000: Total PERSONNEL SALARIES,VACATION,28591,19301,0,0,0
822,101: City General,EXPENSES,Parks,101-710: North Burial Ground,50000: Total PERSONNEL SALARIES,CALL BACK,680,715,0,0,0
823,101: City General,EXPENSES,Parks,101-710: North Burial Ground,50000: Total PERSONNEL SALARIES,HOLIDAY,22090,21486,0,0,0
824,101: City General,EXPENSES,Parks,101-710: North Burial Ground,50000: Total PERSONNEL SALARIES,LONGEVITY,9722,9480,8689,5485,5540
825,101: City General,EXPENSES,Parks,101-710: North Burial Ground,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,8502,6946,11004,11004,11004
826,101: City General,EXPENSES,Parks,101-710: North Burial Ground,51000: Total EMPLOYEE BENEFITS,LABORERS INT'L PENSION,30373,32231,35750,35750,35750
827,101: City General,EXPENSES,Parks,101-710: North Burial Ground,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,94787,106200,100232,110664,116452
828,101: City General,EXPENSES,Parks,101-710: North Burial Ground,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,28788,30166,33990,34603,34949
829,101: City General,EXPENSES,Parks,101-710: North Burial Ground,51000: Total EMPLOYEE BENEFITS,LOCAL 1033 BENEFITS EXPENSE,28133,24327,27028,28600,29867
830,101: City General,EXPENSES,Parks,101-710: North Burial Ground,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,101038,89729,120360,131976,134616
831,101: City General,EXPENSES,Recreation,101-601: Recreation,50000: Total PERSONNEL SALARIES,SALARIES,829568,1110723,1288226,1503120,1518151
832,101: City General,EXPENSES,Recreation,101-601: Recreation,50000: Total PERSONNEL SALARIES,OVERTIME,25655,13415,20000,20000,20000
833,101: City General,EXPENSES,Recreation,101-601: Recreation,50000: Total PERSONNEL SALARIES,SICK LEAVE,34875,33756,0,0,0
834,101: City General,EXPENSES,Recreation,101-601: Recreation,50000: Total PERSONNEL SALARIES,VACATION,71211,35260,0,0,0
835,101: City General,EXPENSES,Recreation,101-601: Recreation,50000: Total PERSONNEL SALARIES,HOLIDAY,65477,73516,0,0,0
836,101: City General,EXPENSES,Recreation,101-601: Recreation,50000: Total PERSONNEL SALARIES,LONGEVITY,38674,28953,27658,28488,28773
837,101: City General,EXPENSES,Recreation,101-601: Recreation,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,15340,15558,16524,16524,16524
838,101: City General,EXPENSES,Recreation,101-601: Recreation,51000: Total EMPLOYEE BENEFITS,HEALTHCARE EE CASH PAYMENT,750,0,0,0,0
839,101: City General,EXPENSES,Recreation,101-601: Recreation,51000: Total EMPLOYEE BENEFITS,LABORERS INT'L PENSION,24289,14297,14300,14300,14300
840,101: City General,EXPENSES,Recreation,101-601: Recreation,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,277032,371329,398990,386916,407152
841,101: City General,EXPENSES,Recreation,101-601: Recreation,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,78416,94726,114713,125424,126678
842,101: City General,EXPENSES,Recreation,101-601: Recreation,51000: Total EMPLOYEE BENEFITS,LOCAL 1033 BENEFITS EXPENSE,19987,10791,10814,11440,11947
843,101: City General,EXPENSES,Recreation,101-601: Recreation,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,214164,243987,294253,358848,366025
844,101: City General,EXPENSES,Recreation,101-601: Recreation,52000: Total DEPARTMENTAL SERVICES,FOOD,0,8043,0,0,0
845,101: City General,EXPENSES,Recreation,101-601: Recreation,52100: Total G&A SERVICES,POSTAGE,138,12,0,0,0
846,101: City General,EXPENSES,Recreation,101-601: Recreation,52100: Total G&A SERVICES,TAXES - REAL ESTATE,58,11999,12000,12000,12000
847,101: City General,EXPENSES,Recreation,101-601: Recreation,52100: Total G&A SERVICES,PROGRAM EXPENSE,122837,64354,96000,96000,96000
848,101: City General,EXPENSES,Recreation,101-601: Recreation,52910: Total R&M OTHER,MAIN & SERVICE,17619,25889,25000,50000,50350
849,101: City General,EXPENSES,Recreation,101-601: Recreation,53500: Total OTHER SERVICES,MISC. EXPENSES,23984,17894,20000,20000,20140
850,101: City General,EXPENSES,Recreation,101-601: Recreation,54000: Total OFFICE SUPPLIES,STATIONERY,1575,1461,1050,3000,3021
851,101: City General,EXPENSES,Recreation,101-601: Recreation,54150: Total FIRE DEPT SUPPLIES,MED CHEM & LAB SUPPLIES,29919,14638,32000,32000,32224
852,101: City General,EXPENSES,Recreation,101-601: Recreation,54700: Total OTHER SUPPLY,FOOD,16481,18744,20000,19997,20137
853,101: City General,EXPENSES,Recreation,101-601: Recreation,54700: Total OTHER SUPPLY,HOUSEKEEPING SUPPLIES,10470,13428,27000,23000,23161
854,101: City General,EXPENSES,Recreation,101-602: Recreation Seasonal,50000: Total PERSONNEL SALARIES,SALARIES,126,17315,0,0,0
855,101: City General,EXPENSES,Recreation,101-602: Recreation Seasonal,50000: Total PERSONNEL SALARIES,SALARIES-TEMPORARIES,1177452,1105765,484000,1944000,1944000
856,101: City General,EXPENSES,Recreation,101-602: Recreation Seasonal,50000: Total PERSONNEL SALARIES,OVERTIME,0,0,0,0,0
857,101: City General,EXPENSES,Recreation,101-602: Recreation Seasonal,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,90414,85916,79872,79866,80665
858,101: City General,EXPENSES,Recreation,101-602: Recreation Seasonal,53500: Total OTHER SERVICES,MISC. EXPENSES,20430,0,50000,50000,50350
859,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,50000: Total PERSONNEL SALARIES,SALARIES,395562,429505,477721,589049,594939
860,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,50000: Total PERSONNEL SALARIES,OVERTIME,94709,94443,100000,90000,90000
861,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,50000: Total PERSONNEL SALARIES,SICK LEAVE,18671,36975,0,0,0
862,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,50000: Total PERSONNEL SALARIES,VACATION,39515,34755,0,0,0
863,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,50000: Total PERSONNEL SALARIES,CALL BACK,4450,4773,5000,5000,5000
864,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,50000: Total PERSONNEL SALARIES,HOLIDAY,32993,28877,0,0,0
865,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,50000: Total PERSONNEL SALARIES,LONGEVITY,15858,15762,15419,15952,16112
866,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,50000: Total PERSONNEL SALARIES,DIFFERENTIAL PAY,34,0,0,0,0
867,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,10111,9313,11220,11220,11220
868,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,51000: Total EMPLOYEE BENEFITS,LABORERS INT'L PENSION,39952,47425,50700,50700,50700
869,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,144949,160026,139956,166740,175461
870,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,45941,48235,51783,50845,51353
871,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,51000: Total EMPLOYEE BENEFITS,LOCAL 1033 BENEFITS EXPENSE,34626,36284,38326,40560,42357
872,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,108914,121797,149424,179136,182719
873,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,52700: Total TRAINING & DEVELOPMENT,TRAINING,0,0,0,1000,1000
874,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,52900: Total R&M EQUIPMENT,REPAIRS TO EQUIPMENT,60476,76408,75000,0,0
875,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,52910: Total R&M OTHER,MAIN & SERVICE,319560,382363,190000,235800,237451
876,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,53200: Total PROFESSIONAL FEES,MISCELLANEOUS PROFESSIONAL SERVICES,0,0,0,10000,10070
877,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,53500: Total OTHER SERVICES,MISC. EXPENSES,0,38621,0,0,0
878,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,54000: Total OFFICE SUPPLIES,SMALL TOOLS   SHOP SUPPLIES,3056,5314,5000,5000,5035
879,101: City General,EXPENSES,Department of Public Works,101-305: Traffic Engineering,54250: Total TRAFFIC ENGINEERING SUPPLIES,TRAFFIC SIGNS,62013,54162,0,30750,30965
880,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,50000: Total PERSONNEL SALARIES,SALARIES,482945,466069,561203,622922,629151
881,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,50000: Total PERSONNEL SALARIES,SALARIES-TEMPORARIES,0,1995,0,0,0
882,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,50000: Total PERSONNEL SALARIES,OVERTIME,6262,0,0,0,0
883,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,50000: Total PERSONNEL SALARIES,SICK LEAVE,23942,19035,0,0,0
884,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,50000: Total PERSONNEL SALARIES,VACATION,37160,44525,0,0,0
885,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,50000: Total PERSONNEL SALARIES,HOLIDAY,37558,33385,0,0,0
886,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,50000: Total PERSONNEL SALARIES,LONGEVITY,14272,12175,16133,21388,21602
887,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,9162,9202,10692,10692,10692
888,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,51000: Total EMPLOYEE BENEFITS,LABORERS INT'L PENSION,24675,27063,27300,27300,27300
889,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,168739,165110,157841,172044,181042
890,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,45139,43174,48345,50284,50787
891,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,51000: Total EMPLOYEE BENEFITS,LOCAL 1033 BENEFITS EXPENSE,20310,20421,20642,21840,22808
892,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,127423,135115,168397,198720,202694
893,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,52100: Total G&A SERVICES,POSTAGE,25011,860,10000,5000,5000
894,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,52100: Total G&A SERVICES,DUES & SUBSCRIPTIONS,8702,6142,12500,6600,6646
895,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,52100: Total G&A SERVICES,PRINTING,6293,1510,4000,0,0
896,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,52910: Total R&M OTHER,MAIN & SERVICE,15350,14600,17000,7300,7351
897,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,52910: Total R&M OTHER,COPIERS LEASE AND MAINTENANCE,0,0,0,6000,6042
898,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,53500: Total OTHER SERVICES,MISC. EXPENSES,5043,3500,10000,7000,7049
899,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,54000: Total OFFICE SUPPLIES,OFFICE SUPPLIES,0,0,0,5800,5841
900,101: City General,EXPENSES,Department of Public Works,101-501: Public Works Administration,54000: Total OFFICE SUPPLIES,STATIONERY,3117,4041,2800,4000,4028
901,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,50000: Total PERSONNEL SALARIES,SALARIES,389468,433371,568510,660441,667045
902,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,50000: Total PERSONNEL SALARIES,OVERTIME,27258,9622,10000,10000,10000
903,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,50000: Total PERSONNEL SALARIES,SICK LEAVE,31223,25367,0,0,0
904,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,50000: Total PERSONNEL SALARIES,VACATION,41033,27655,0,0,0
905,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,50000: Total PERSONNEL SALARIES,CALL BACK,0,128,0,0,0
906,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,50000: Total PERSONNEL SALARIES,HOLIDAY,32415,30011,0,0,0
907,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,50000: Total PERSONNEL SALARIES,LONGEVITY,17131,17195,18746,20435,20639
908,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,6710,6545,8172,8172,8172
909,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,51000: Total EMPLOYEE BENEFITS,HEALTHCARE EE CASH PAYMENT,0,1500,0,0,0
910,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,51000: Total EMPLOYEE BENEFITS,LABORERS INT'L PENSION,28579,29591,31850,31850,31850
911,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,147389,157210,166018,163812,172379
912,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,41352,41282,53751,56553,57119
913,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,51000: Total EMPLOYEE BENEFITS,LOCAL 1033 BENEFITS EXPENSE,23141,21909,24076,25480,26609
914,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,79983,76555,94592,112596,114848
915,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,52910: Total R&M OTHER,MAIN & SERVICE,0,0,0,3000,3021
916,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,52910: Total R&M OTHER,COPIERS LEASE AND MAINTENANCE,0,0,0,3000,3021
917,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,52910: Total R&M OTHER,HURRICANE BARRIER MAINTENANCE,0,19300,25000,25000,25175
918,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,53500: Total OTHER SERVICES,MISC. EXPENSES,46217,1639,50000,50500,50854
919,101: City General,EXPENSES,Department of Public Works,101-502: Engineering & Sanitation,54000: Total OFFICE SUPPLIES,SMALL TOOLS   SHOP SUPPLIES,455,0,500,1000,1007
920,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,50000: Total PERSONNEL SALARIES,SALARIES,355532,395681,450285,513341,518474
921,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,50000: Total PERSONNEL SALARIES,OVERTIME,50628,62150,100000,65000,65000
922,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,50000: Total PERSONNEL SALARIES,SICK LEAVE,28808,12912,0,0,0
923,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,50000: Total PERSONNEL SALARIES,VACATION,63921,40442,0,0,0
924,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,50000: Total PERSONNEL SALARIES,CALL BACK,84,0,0,0,0
925,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,50000: Total PERSONNEL SALARIES,HOLIDAY,31021,27617,0,0,0
926,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,50000: Total PERSONNEL SALARIES,LONGEVITY,29780,22101,22962,24217,24459
927,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,50000: Total PERSONNEL SALARIES,DIFFERENTIAL PAY,1388,990,1500,1500,1500
928,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,50000: Total PERSONNEL SALARIES,ALTERNATIVE WORK WEEK,2220,1391,2500,2500,2500
929,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,9934,9465,10524,10524,10524
930,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,51000: Total EMPLOYEE BENEFITS,LABORERS INT'L PENSION,34824,42929,42250,42250,42250
931,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,140002,139819,131862,145692,153312
932,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,43459,41413,51282,48926,49415
933,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,51000: Total EMPLOYEE BENEFITS,LOCAL 1033 BENEFITS EXPENSE,28274,32402,31942,33800,35297
934,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,111172,104564,129892,153792,156868
935,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,52000: Total DEPARTMENTAL SERVICES,REFUSE PROCESSING,3322312,3834154,3355000,3522750,3547409
936,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,52100: Total G&A SERVICES,PEST CONTROL,0,0,0,15000,15105
937,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,52100: Total G&A SERVICES,RECYCLING PICK UP,2846400,2932375,3020166,3276000,3298932
938,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,52100: Total G&A SERVICES,WASTE RECYCLING EDUCATION,9797,17052,50000,50000,50000
939,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,53400: Total CONTRACT SERVICES,PRIVATE CONTRACTORS,109540,74224,175000,175000,176225
940,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,53400: Total CONTRACT SERVICES,GARBAGE PICK UP,3660049,3807989,4163157,4149000,4178043
941,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,53500: Total OTHER SERVICES,MISC. EXPENSES,7016,37509,8000,8000,8056
942,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,54000: Total OFFICE SUPPLIES,SMALL TOOLS   SHOP SUPPLIES,759,916,1000,6000,6042
943,101: City General,EXPENSES,Department of Public Works,101-506: Environmental Control,54260: Total ENVIRONMENTAL MANAGEMENT,CHEMICAL SUPPLIES,5906,10574,15000,0,0
944,101: City General,EXPENSES,Department of Public Works,101-508: Highway,50000: Total PERSONNEL SALARIES,SALARIES,1621359,1687999,2001514,2293994,2316934
945,101: City General,EXPENSES,Department of Public Works,101-508: Highway,50000: Total PERSONNEL SALARIES,SALARIES-TEMPORARIES,14379,52825,62292,62298,62298
946,101: City General,EXPENSES,Department of Public Works,101-508: Highway,50000: Total PERSONNEL SALARIES,OVERTIME,193877,149393,100000,100000,100000
947,101: City General,EXPENSES,Department of Public Works,101-508: Highway,50000: Total PERSONNEL SALARIES,POLICE & FIRE DETAILS FOR CITY DEPTS,7682,9014,10000,10000,10000
948,101: City General,EXPENSES,Department of Public Works,101-508: Highway,50000: Total PERSONNEL SALARIES,SICK LEAVE,87472,63614,0,0,0
949,101: City General,EXPENSES,Department of Public Works,101-508: Highway,50000: Total PERSONNEL SALARIES,VACATION,119919,90111,0,0,0
950,101: City General,EXPENSES,Department of Public Works,101-508: Highway,50000: Total PERSONNEL SALARIES,CALL BACK,0,65,0,0,0
